#           var1             var2            omega           -gamma      Re(dBy/dBz)      Im(dBy/dBz)       Re(dn/dBz)       Im(dn/dBz)
  1.97007252e-02   0.00000000e+00   1.95066223e-02  -1.90093585e-23   2.91438133e-21   5.72957795e+05   1.03041247e+00   1.08872597e-17
  1.98236620e-02   0.00000000e+00   1.96271350e-02   1.43926042e-23   5.68108044e-16   5.72957795e+05   1.03053982e+00   5.72681683e-17
  1.99473660e-02   0.00000000e+00   1.97483845e-02   4.88880708e-23  -8.41732427e-16   5.72957795e+05   1.03066799e+00   1.21636202e-16
  2.00718419e-02   0.00000000e+00   1.98703754e-02  -4.46295572e-24   1.41022235e-15   5.72957795e+05   1.03079696e+00  -2.94150131e-17
  2.01970946e-02   0.00000000e+00   1.99931120e-02   3.97628812e-23   1.10232388e-15   5.72957795e+05   1.03092676e+00   8.46078042e-17
  2.03231289e-02   0.00000000e+00   2.01165989e-02  -7.44509883e-25  -8.88144142e-16   5.72957795e+05   1.03105739e+00   9.63646457e-17
  2.04499496e-02   0.00000000e+00   2.02408404e-02  -1.00856503e-23   5.00456215e-16   5.72957795e+05   1.03118885e+00  -1.76742442e-17
  2.05775618e-02   0.00000000e+00   2.03658412e-02  -2.23085244e-23   3.27595667e-21   5.72957795e+05   1.03132114e+00  -4.12696570e-17
  2.07059703e-02   0.00000000e+00   2.04916057e-02   2.89260706e-23  -4.22167125e-21   5.72957795e+05   1.03145428e+00   4.59446434e-17
  2.08351800e-02   0.00000000e+00   2.06181386e-02  -1.42446197e-23   3.45446306e-16   5.72957795e+05   1.03158827e+00   1.26692955e-16
  2.09651961e-02   0.00000000e+00   2.07454444e-02  -1.30018135e-23  -8.35897267e-16   5.72957795e+05   1.03172310e+00  -5.12898777e-17
  2.10960235e-02   0.00000000e+00   2.08735277e-02   2.67581380e-23  -3.25054086e-16   5.72957795e+05   1.03185880e+00   1.90749338e-16
  2.12276673e-02   0.00000000e+00   2.10023932e-02  -3.69337065e-23  -3.15032497e-16   5.72957795e+05   1.03199537e+00   9.85063039e-17
  2.13601326e-02   0.00000000e+00   2.11320455e-02   5.60163575e-24  -1.95767218e-16   5.72957795e+05   1.03213280e+00  -6.18102878e-17
  2.14934245e-02   0.00000000e+00   2.12624893e-02   2.21713443e-23  -4.50903937e-21   5.72957795e+05   1.03227111e+00  -9.09907009e-17
  2.16275482e-02   0.00000000e+00   2.13937294e-02  -5.38076539e-23   5.71447854e-16   5.72957795e+05   1.03241030e+00  -1.08832379e-16
  2.17625088e-02   0.00000000e+00   2.15257705e-02  -1.57673503e-23   2.19069565e-21   5.72957795e+05   1.03255038e+00   8.52072062e-17
  2.18983116e-02   0.00000000e+00   2.16586174e-02   1.61826684e-23   4.68844424e-16   5.72957795e+05   1.03269135e+00   7.87047224e-17
  2.20349618e-02   0.00000000e+00   2.17922749e-02   1.73209537e-23   5.01251413e-16   5.72957795e+05   1.03283322e+00  -2.39957337e-17
  2.21724648e-02   0.00000000e+00   2.19267477e-02  -7.77414212e-24  -2.53065456e-16   5.72957795e+05   1.03297600e+00  -1.27820615e-16
  2.23108258e-02   0.00000000e+00   2.20620409e-02  -1.84048064e-23   4.78341910e-16   5.72957795e+05   1.03311968e+00  -1.37218783e-16
  2.24500503e-02   0.00000000e+00   2.21981592e-02  -2.81954776e-23   3.79884924e-21   5.72957795e+05   1.03326428e+00   1.64293472e-16
